candidate_index,c_row,a_col,c_state,anchor_state,c_shell,anchor_shell,c_rank,anchor_rank,hidden_diagonal,actual_selected,diagonal_matches_actual
0,0,0,O0,B0,ordinary,branch,0,0,0,0,1
1,0,1,O0,O0,ordinary,ordinary,0,0,1,1,1
2,0,2,O0,O1,ordinary,ordinary,0,1,0,0,1
3,0,3,O0,B1,ordinary,branch,0,1,0,0,1
4,1,0,O1,B0,ordinary,branch,1,0,0,0,1
5,1,1,O1,O0,ordinary,ordinary,1,0,0,0,1
6,1,2,O1,O1,ordinary,ordinary,1,1,1,1,1
7,1,3,O1,B1,ordinary,branch,1,1,0,0,1
8,2,0,B0,B0,branch,branch,0,0,1,1,1
9,2,1,B0,O0,branch,ordinary,0,0,0,0,1
10,2,2,B0,O1,branch,ordinary,0,1,0,0,1
11,2,3,B0,B1,branch,branch,0,1,0,0,1
12,3,0,B1,B0,branch,branch,1,0,0,0,1
13,3,1,B1,O0,branch,ordinary,1,0,0,0,1
14,3,2,B1,O1,branch,ordinary,1,1,0,0,1
15,3,3,B1,B1,branch,branch,1,1,1,1,1
